M,20.,25.,30.,40.
Mrem,2.0300e+00,1.9100e+00,3.6200e+00,3.7200e+00
H,8.5110e+00,8.0766e+00,9.5391e+00,7.3878e+00
He,6.9125e+00,7.1422e+00,8.1207e+00,6.6837e+00
Li,1.7824e-12,1.0724e-10,4.6419e-13,2.8792e-12
Be,4.0919e-16,2.2409e-16,4.0757e-16,1.0530e-15
B,1.9525e-09,1.8898e-10,4.6153e-10,2.0065e-11
C,1.3808e-01,1.3147e-01,1.5555e-01,4.2363e-01
N,4.1564e-02,4.2219e-02,5.5482e-02,3.9391e-02
O,8.7320e-01,2.4423e+00,3.3597e+00,6.9129e+00
F,3.2555e-05,1.2292e-04,7.1884e-06,9.0799e-06
Ne,2.1205e-01,6.9059e-01,5.2115e-01,1.4099e+00
Na,6.3232e-03,1.1421e-02,1.1535e-02,3.2296e-02
Mg,8.5676e-02,2.4515e-01,2.0703e-01,4.3220e-01
Al,5.7581e-03,1.7938e-02,1.6923e-02,4.4035e-02
Si,1.0447e-01,1.8814e-01,3.3437e-01,4.9201e-01
P,6.8810e-04,1.5585e-03,2.3398e-03,3.4759e-03
S,4.2041e-02,6.9694e-02,1.4386e-01,2.0403e-01
Cl,2.1338e-04,3.2199e-04,5.8601e-04,9.0561e-04
Ar,6.4426e-03,1.0754e-02,2.2009e-02,3.1531e-02
K,9.2228e-05,1.1161e-04,2.3170e-04,2.6599e-04
Ca,3.9566e-03,7.0576e-03,1.3708e-02,2.1010e-02
Sc,1.1328e-06,2.1278e-06,2.7786e-06,3.9510e-06
Ti,7.8132e-05,2.0567e-04,2.8624e-04,5.9463e-04
V,6.5235e-06,2.0734e-05,2.3265e-05,4.4133e-05
Cr,4.1298e-04,1.1624e-03,1.8099e-03,3.2340e-03
Mn,1.8844e-04,2.7890e-04,4.3728e-04,5.4324e-04
Fe,3.6445e-02,1.0221e-01,1.4007e-01,2.8860e-01
Co,1.3251e-04,4.2768e-04,4.7233e-04,8.6727e-04
Ni,2.4149e-03,5.3838e-03,7.3897e-03,1.6652e-02
Cu,6.9786e-05,2.5300e-04,8.9888e-05,6.1337e-04
Zn,1.2054e-04,7.3012e-04,3.8904e-04,2.0279e-03
Ga,6.4673e-06,4.3219e-05,1.5313e-05,1.5657e-04
Ge,2.1819e-05,2.2698e-04,8.7806e-05,1.0729e-03
