M,0.85,0.918,0.992,1.071,1.154,1.239,1.315,1.407,1.499,1.583,1.667,1.75,1.832,1.85,1.9,2.0,2.2,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,9.0,12.0,15.0,20.0,30.0,40.0,60.0,120.0
Mrem,0.5712,0.5782,0.5657,0.5724,0.5875,0.5942,0.6016,0.6099,0.6095,0.6199,0.629,0.638,0.655,0.661,0.669,0.683,0.71,0.765,0.894,0.939,0.978,1.013,1.032,1.3,1.3,1.354,1.483,1.839,2.04,6.899,12.57,5.685,9.886
H,0.2,0.2437,0.3058,0.3575,0.4065,0.4628,0.4991,0.5555,0.6096,0.6481,0.6892,0.7318,0.7644,0.7686,0.7919,0.8452,0.9419,1.093,1.333,1.699,2.052,2.312,2.575,3.113,3.541,4.336,5.408,6.379,8.117,11.03,13.67,18.45,29.15
He,0.07659,0.09335,0.1171,0.137,0.1555,0.1768,0.204,0.2294,0.2634,0.2933,0.3223,0.3498,0.3776,0.3842,0.4001,0.4304,0.4987,0.5846,0.7046,0.8035,0.9205,1.123,1.342,1.548,2.11,2.585,3.758,4.558,5.743,7.943,10.42,22.81,50.28
C,0.000372,0.0004507,0.0005616,0.000641,0.0007107,0.0007847,0.005137,0.006403,0.009676,0.01408,0.01808,0.02131,0.02526,0.02651,0.02851,0.03039,0.03654,0.0424,0.04985,0.03817,0.01527,0.003353,0.00324,0.003117,0.003267,0.1271,0.08065,0.1198,0.1302,0.1497,0.1678,3.649,9.94
N,0.0001299,0.0001617,0.0002075,0.0002613,0.0003176,0.0003898,0.0004632,0.0005207,0.0006978,0.0007439,0.0008241,0.0009164,0.001009,0.001036,0.001092,0.001231,0.001523,0.001876,0.002348,0.002917,0.01488,0.02647,0.02373,0.008186,0.01168,0.01413,0.02242,0.02824,0.0354,0.05624,0.07488,0.1293,0.341
O,0.001073,0.001308,0.001641,0.001919,0.00218,0.002482,0.003064,0.003472,0.004068,0.004671,0.005244,0.005731,0.006218,0.00635,0.006637,0.007039,0.008014,0.009222,0.01101,0.01172,0.01213,0.0131,0.01373,0.01509,0.01698,0.2174,0.6922,1.305,2.844,3.052,2.202,4.758,9.129
Ne,0.0002027,0.0002471,0.00031,0.0003625,0.0004119,0.0004688,0.0005187,0.0005796,0.0006467,0.0007003,0.0007547,0.0008085,0.0008558,0.0008645,0.0008951,0.0009576,0.001083,0.001262,0.001531,0.001862,0.002197,0.002535,0.002885,0.0006483,0.0007814,0.01185,0.1201,0.1448,0.1089,0.5044,0.659,0.5284,0.9417
Mg,6.538e-05,7.968e-05,9.997e-05,0.0001169,0.0001328,0.0001512,0.0001673,0.0001869,0.0002086,0.0002258,0.0002434,0.0002608,0.000276,0.0002788,0.0002887,0.0003088,0.0003494,0.0004069,0.0004939,0.0006005,0.0007086,0.0008177,0.0009305,0.001102,0.001337,0.004026,0.03472,0.05242,0.04502,0.1342,0.00799,0.1863,0.08673
Si,8.311e-05,0.0001013,0.0001271,0.0001486,0.0001689,0.0001922,0.0002127,0.0002376,0.0002652,0.0002871,0.0003094,0.0003315,0.0003509,0.0003544,0.000367,0.0003926,0.0004442,0.0005172,0.0006278,0.0007635,0.0009009,0.001039,0.001183,0.001401,0.001699,0.04147,0.09518,0.2044,0.3726,0.03012,0.008177,0.05547,0.03748
S,4.473e-05,5.452e-05,6.839e-05,7.999e-05,9.089e-05,0.0001034,0.0001145,0.0001279,0.0001427,0.0001545,0.0001665,0.0001784,0.0001888,0.0001908,0.0001975,0.0002113,0.000239,0.0002784,0.0003379,0.0004109,0.0004848,0.0005594,0.0006366,0.000754,0.0009145,0.02809,0.045,0.09923,0.1948,0.004192,0.004401,0.009841,0.01768
Ca,8.058e-06,9.821e-06,1.232e-05,1.441e-05,1.637e-05,1.864e-05,2.062e-05,2.304e-05,2.571e-05,2.783e-05,3e-05,3.214e-05,3.402e-05,3.436e-05,3.558e-05,3.806e-05,4.306e-05,5.014e-05,6.087e-05,7.402e-05,8.734e-05,0.0001008,0.0001147,0.0001358,0.0001647,0.005723,0.007602,0.01339,0.02017,0.0006676,0.0007927,0.00157,0.003182
Fe,0.0001474,0.0001796,0.0002254,0.0002636,0.0002995,0.0003409,0.0003771,0.0004214,0.0004702,0.0005091,0.0005487,0.0005878,0.0006222,0.0006285,0.0006507,0.0006962,0.0007877,0.0009172,0.001113,0.001354,0.001598,0.001843,0.002098,0.002485,0.003013,0.06977,0.07953,0.06023,0.09745,0.006106,0.00725,0.01436,0.02911
Other,8.372199999995278e-05,0.0001575790000000188,0.0001467200000000446,0.0002926999999999236,0.00017134000000007532,0.0002683600000004116,0.00022487999999998287,0.00022786000000007967,0.00029908999999994634,0.0003004699999997751,0.000299200000000166,0.00024346000000008416,0.00018527999999995437,0.0,0.0003264199999997164,0.00013543999999998668,0.0003766400000002612,0.0004701600000003303,0.0010275299999995546,0.0006280799999998088,0.0012433600000001377,0.0021820999999997426,0.0024521999999995714,0.006080900000000611,0.009163399999999378,0.20544100000000043,0.17359800000000014,0.19649000000000072,0.251459999999998,0.19037440000000316,0.20770930000000476,3.7227589999999964,10.158117999999988
